Title,User,Relative time,Date,Time,Score,Link,Question
Ask HN: What are you working on? (February 2025),david927,23 hours ago,2025-02-23,23:00:16,203,https://news.ycombinator.com/item?id=43154065,What are you working on?  Any new ideas that you're thinking about?
"Ask HN: Former devs who can't get a job, what did you end up doing for work?",throw81398475,7 hours ago,2025-02-24,20:22:37,20,https://news.ycombinator.com/item?id=43164498,"That's all.Savings are getting low, and I'm going to be struggling to pay rent soon.  I'm curious what other kinds of work other former developers got into and if they like it.  Cheers."
Ask HN: My father passed away. How do deal with the grief?,gogo61,4 hours ago,2025-02-24,23:37:25,9,https://news.ycombinator.com/item?id=43166256,It has been one month since he passed and i have been continuously crying. I am writing this with tears in my eye.
Tell HN: Five random IndieWeb blog links on your terminal,susam,1 day ago,2025-02-23,10:55:47,44,https://news.ycombinator.com/item?id=43148408,"Hello HN!  I believe some of you might have come across this pretty interesting post about discovering IndieWeb blogs, one blog at a time: <https://news.ycombinator.com/item?id=43139953>That post is actually a link to <https://indieblog.page/>, which features an impressive list of independently maintained personal websites and blogs with RSS feeds.I was wondering, if instead of discovering one blog at a time, I could discover five blogs at once, directly from my terminal!  Turns out the website has <https://indieblog.page/random> which picks a random blog and redirects you to it.  It has daily feeds of N random posts too, where N = 1, 3, 5, and 10.But if, like me, you'd like to have five random blogs suggested in your terminal, here is a quick shell one-liner I'd like to share.  It fetches the random blog picker page five times, cleans up the URLs a bit, and prints them on the terminal:for _ in $(seq 1 5); do curl -sSI https://indieblog.page/random | grep location | sed 's/location: \(.*\).utm_source=.*/\1/'; doneOr if you want something to go in ~/.zshrc, ~/.bashrc, etc., then you could have a tiny shell function like this:iw5() {
      for _ in $(seq 1 5)
      do
          curl -sSI https://indieblog.page/random |
              grep location |
              sed 's/location: \(.*\).utm_source=.*/\1/'
      done
  }Here is an example output:$ iw5
  https://justinsimoni.com/colorado-trail-24-hour-backpacking-challenge-in-may-how-far-can-i-hike/
  http://www.iamcal.com/2024-09/10218/
  https://dracos.co.uk/wrote/advent-of-code-2024-7/
  https://leancrew.com/all-this/2024/12/mind-your-plotting/
  http://i.never.nu/personal-foundational-texts/It helps me to quickly browse through a set of random suggestions on the terminal, decide which one I want to visit, right click on it, and select the ""open link"" option to open the link in a web browser.  Yes, I know this amounts to judging a post by its link, but sometimes the post slug (if present) alone sparks enough curiosity to dive deeper, and it's a quick way to explore new posts without overthinking it.If you're using this, please be considerate of the indieblog.page web server.  Avoid running it too frequently to prevent putting unnecessary strain on the server."
Ask HN: Is anyone still using Dreamweaver?,gillytech,2 days ago,2025-02-22,17:59:27,165,https://news.ycombinator.com/item?id=43141368,When I was learning to build websites in 2010 Dreamweaver was the go-to. I remember it thoroughly confused the heck out of me. Anyone here able to use it effectively?
Navigating a Broken Dev Culture,lightserver,1 day ago,2025-02-23,14:27:18,58,https://news.ycombinator.com/item?id=43149437,"My Current Job is a Mess—But I Won’t Let It Define Me(Disclaimer: Not here to trash my company, just sharing my experience.)I work on the AI team at my current job, meaning I get to play with cutting-edge generative AI tech. I’ve built some pretty cool things:
 • Designed an end-to-end image generation pipeline for a virtual friend app.
 • Implemented self-hosted Stable Diffusion with Automatic1111, adding sentiment-based image optimization & image retrieval.
 • Used Vicuna (uncensored) + VLLM for serving our text model.Sounds exciting, right? That’s about where the good part ends.The Bad: A Tech Culture Stuck in the Stone AgeThe engineering practices at my company are, to put it mildly, nonexistent:
 • Testing? None. Even revenue-generating products (~$200K/yr) are tested manually.
 • Deployments? Manual SSH into the server, copy the build, and pray.
 • CI/CD? What’s that?
 • Docker/Kubernetes? Not in our vocabulary.
 • Code Quality? Negative.I’ve tried pushing for better practices—heck, I even gave a Docker session to the team—but there’s no buy-in.The New Obsession: AI is Eating Our JobsManagement (none of whom are engineers) has fully bought into the “AI replaces devs” hype. Our CTO literally said:“Use GPT to write code. This is a one-day task; it shouldn’t take more than that.”They genuinely believe AI can replace skilled developers overnight. Meanwhile, they’ve never used GPT to write production code themselves. They just read the PR spin and assume it’s magic.Despite this chaos, I’ve refused to let the environment affect my growth. WFH helped me stay sane, but now that we’re back in the office, I know it’s time to move on.I never had a formal AI background, but I self-learned everything while on the job. Along the way:
 • Cleared GSoC and worked on Intel’s ML toolkit OpenVINO (JS bindings).
 • Discovered OpenTensor (decentralized intelligence), cold-emailed a contributor, and worked part-time on his startup.
 • Got my Rust PR accepted into Docify (used by Polkadot).
 • Built a Rust + HTMX startup backend using Rocket (signed an NDA, so can’t share details).What’s Next?I’m scrambling to find a new job. Ideally, I’d love to work on FOSS full-time rather than jumping into another corporate dev job. The problem? Finding an opportunity that matches my current compensation in India.I recently worked a contract gig for $17.35/hr—if I had a year-long commitment at that rate, I’d have left my job yesterday.I know going full-time into FOSS isn’t easy, but if you have advice—or know FOSS projects that need contributors—I’d love to connect.My stack:
 • Frontend: React / Next.js / TypeScript
 • Backend: Node.js / FastAPI / Flask
 • GenAI: LangChain, RAG, Stable Diffusion, Tool-Calling
 • DevOps: (Self-learning)I’m in a phase where I can afford to push myself to maximize my learning, but I also need to be practical. If you’ve been through something similar or have insights on making a sustainable career in FOSS, I’d love to hear from you.Thanks for reading—I appreciate any thoughts, advice, or connections!"
Ask HN: Do you practice lucid dreaming?,raunometsa,2 days ago,2025-02-22,12:45:26,13,https://news.ycombinator.com/item?id=43138523,"Hey!I know this is a question we're not usually discussing here on HN but I'm sure some of you have at least once in their life experienced lucid dreaming if not practicing regularly.Would be fun to hear about your experiences. I'm not actively practicing now but should pick it up again (it was a lot of fun).What I always emphasise when talking about LD's this: it's REAL. It's a full virtual reality experience not only with visuals and sounds but with taste, touch, and emotions, too.I'm putting together a small report called The State of Lucid Dreaming 2025. Here are 9 questions if you'd like to participate:
https://dreamvr.co/stats/questionsAnd here are the preliminary results:
https://dreamvr.co/stats"
Ask HN: Are there online communities for single-owner run companies?,indulona,2 days ago,2025-02-22,12:47:53,5,https://news.ycombinator.com/item?id=43138540,"I am wondering if there are any online communities(discord, slack, forums) for people who have single-handedly built and run their online businesses - AND it is not a cesspool of never-ending promos and garbage ads ala linkedin?"
Ask HN: Anyone building a non AI product/startup?,codegeek,10 hours ago,2025-02-24,17:46:16,5,https://news.ycombinator.com/item?id=43162490,AI is an exciting technology that is surely changing the world. But I would love to know if anyone is building non AI stuff in 2025. At least not primarily AI.
Ask HN: Why is Cursor IDE accessing all my env vars?,iyn,3 days ago,2025-02-21,20:07:29,14,https://news.ycombinator.com/item?id=43132313,"Recently I tried playing with https://www.cursor.com/ but got spooked by the LuLu alert (https://objective-see.org/products/lulu.html) when launching the app, where the process args included ""JSON.stringify(process.env)"" part, see screenshot here: https://imgur.com/a/DmDuGTzIs this... normal? I don't understand why they might want to serialize/access all of my env vars. Does anyone have a suggestion for that behaviour? I'm probably missing some reasonable explanation, happy to learn more.I've been running a lot of stuff in VMs lately anyway, but don't want to end up having to spin up a VM for the core app like a code editor. How do you all deal with untrusted (but not really malware-level untrusted) software?"
Ask HN: What fiction/non-fiction book should everyone read on the topic of CS?,Eavolution,7 days ago,2025-02-18,00:40:33,35,https://news.ycombinator.com/item?id=43084739,This should be interpreted in the broadest sense to include books like both American Kingpin and Practical Vim as examples.
Ask HN: Advice for someone who stagnated in their career. Help,justonemore,2 days ago,2025-02-23,03:49:26,10,https://news.ycombinator.com/item?id=43146311,"Hi HN. 50 year old here. I had a mixed career in corporate roles (product dev, bus dev - first 10 years of working), then a startup (did ok, but more learning than earning), and now have been teaching in a university for 10 years. Along the way I built a niche out of running startup programs for other institutions.I enjoy the work. It's fun and people definitely enjoy and tell me they benefit from what I do.But it's not enough financially. The university doesn't pay much and I am just breaking even each year and dependent on consulting income to pay for growing family expenses. Every time I get brought in to a new consulting project I knock it out of the park. But those projects are one-offs and seem to be dwindling. Side projects I spin up come to low thousands a year and while I enjoy them, don't do anything to take the financial pressure off. When I was 25 I used to pride myself on being able to live on a shoestring out of a backpack, but it's a different story with a wife and kids.I don't project confidence (something I probably am resistant to) but once I land somewhere I usually become a go-to person that gets things done and makes a team productive. But I haven't been able to get in the door anywhere new (corporate, consulting, or funded startup) and I can't figure out why. At this point I don't know who wants to hire someone like me.Anyone dealt with something like this? What did you do? Or what worked and didn't work?I appreciate any advice."
Ask HN: Why is it taking so long to build computer controlling agents?,louisfialho,2 days ago,2025-02-23,01:19:39,10,https://news.ycombinator.com/item?id=43145225,"I'm not a PhD but I assume training computer controlling agents is a straightforward problem as we can define clear tasks (e.g. schedule appointment with details xyz or buy product xyz) on real or generated websites and just let the models figure our where to click (through vlm) and learn through RL.What am I missing, why isn't this a solved problem by now?"
"Ask HN: Tips to make a pitch for ""acquihire of one""?",rglullis,2 days ago,2025-02-22,10:00:30,2,https://news.ycombinator.com/item?id=43137645,"This could also be called ""How can I pitch myself for a job at a company for a position that does not exist?"".Is there such a thing? Can anyone share any stories of how they got in contact with an acquiring company? Does it just become a job interview?"
Tell HN: Generational Gap,yonisto,2 days ago,2025-02-22,09:21:37,4,https://news.ycombinator.com/item?id=43137496,"So this week, I was teaching a new employee about the system. He is 30 years old and has been in the industry for six years now. At one point, I described an external tool that we use, which produces an XML file. Something felt off about his questions, and then a realization hit me:""Do you know what XML is?""He didn't.I have a few takeaways:1. I'm old.
2. I envy him—I hate XML. 99% of the time, it actively sabotages my work.
3. JSON simplicity won.That's it. No moral."
